"TYPE","meanwp","meanct","meanwc"
"AH1",2.40910755001635,22.1920015637007,3.08178075880359
"BVic",3.91186964713309,12.6470306009298,8.00284932571722
"BVic",5.04162417506848,14.6106289587895,16.067705875205
"BVic",4.30221854025081,17.9951408191946,3.9077980160382
"BVic",2.19597420144536,22.046532605262,5.31013370051359
"BVic",1.76702894745314,18.2164740188918,8.48959086535229
"AH1",1.15713615123338,22.0297672959806,0.761352642880911
"BVic",1.65510879139672,19.5613073339919,3.28636825848997
"AH1",2.24583330862654,18.5063754435766,2.35367485282189
"BVic",1.87076744481452,19.682800422537,3.5045890263361
"AH1",1.44015001343914,21.9031715907881,1.10335793109686
"AH3",1.70455550438267,18.7323642796428,2.49578679141451
"AH1",2.01719684935434,18.7677563605901,2.24613955367378
"BVic",2.13684266987394,16.7254960875426,3.04759046126854
"BVic",1.70863693117993,21.3948520444679,2.21853380721657
"BYam",1.74062266262213,20.9480681886571,2.64809416242324
"AH1",2.32693302426458,25.0735718928534,2.22042450818178
"BVic",1.7027768822974,23.3201584539274,5.68963845300197
"BVic",1.83347300009323,21.2335996748496,2.62829894092996
"AH1",2.13049786785462,23.3993831661469,2.2248200252329
"BVic",2.40349109757578,19.7291094922765,6.32445082497789
"AH1",2.8753318344804,12.7187261476354,4.14311714139011
"BVic",1.14317912272748,20.4319917254462,1.26650130092768
"AH3",1.73260550603592,18.3772119516977,2.49348907674021
"AH3",1.99257605985413,16.185562876878,2.00603115722157
"AH1",2.20013749616419,15.2549543462085,1.9396891964536
"AH3",2.15537172614194,19.2490493789841,3.21738798751641
"AH1",2.30608743026708,20.4945541183749,3.13135938131696
"AH1",1.77711804926092,21.976646807949,5.32352010096055
"BVic",1.67393471922859,20.8511406669316,2.33484989864569
"BVic",1.77838528912073,23.3239211371961,10.9960322788173
"AH3",1.74571098339784,20.3926890842891,1.81565439817475
"AH1",2.08414933140666,20.8496114379023,1.56917849902154
"AH1",1.94693930323607,22.7791760441581,1.73058083643057
"AH1",2.18242182733899,22.4751418761075,2.18913945618879
"AH1",2.28200754783451,20.8297820764666,1.61206182433878
"AH1",2.07165731980988,23.0661455030859,1.94298875500582
"AH3",2.14735119571751,20.203346419238,2.87631005416334
"AH1",2.44849434221574,24.5237266509918,3.16455282114599
"AH3",2.05857620940561,20.1966180607505,2.83277586926516
"AH1",2.22250860997708,25.3141562532292,3.11639289681833
"AH1",2.26022914559712,24.5572327060165,3.41727117335009
"BVic",1.81139540932664,20.5289830303139,5.76705872901696
"AH1",1.96988878050939,23.5352133632994,2.02869349214823
"AH1",2.11025948134318,22.4015715407248,2.16913341210141
"AH1",2.11705961818414,22.3517309045021,2.04507911896656
"AH1",2.5620371177865,22.5561636137281,5.06714031555979
"AH1",2.84287338399727,22.7554832802228,2.23682141613576
"BVic",1.45283579109354,20.8108771833757,1.4729468132687
"BVic",1.34409653409095,20.407400294059,1.94230726311438
"AH1",1.70968063475167,19.6763808610014,2.591083257473
"AH3",1.8567256814453,20.1888226251474,2.03827902945876
"AH1",2.08560304105241,23.5341593012106,2.09775415502456
"BYam",1.97318773706197,16.3852140887072,5.48513609881149
"BVic",1.86472735775641,17.4030418400538,3.74095512201172
"AH3",1.34076168051951,19.7683718550503,1.92798242057669
"AH1",1.70584866004482,23.5976770244881,1.90986271818776
"BVic",1.1750756732113,20.5905368951336,1.54881975547963
"AH3",1.13108881341471,19.5478087096912,1.30111475845425
"AH1",1.57785161765256,22.5359560468674,1.27280355228122
"AH1",2.19750848021011,23.7975868774597,4.86467339427101
"AH3",4.67896186381631,20.1672540696274,3.01224604385705
"AH3",1.88615644100516,21.2114664778666,4.91996279853141
"AH1",2.24352814951913,20.9968923758297,3.14815222265231
"AH1",2.78212145957616,25.1966489012752,3.15243572873851
"AH3",2.33634422054095,20.2718851841094,2.86487747824995
"AH1",1.75629911339602,23.0718633107409,1.89478502889571
"AH3",1.19815707039758,19.9378465356452,1.49561040217541
"AH1",1.84885634787329,23.7757841845253,1.5498373521705
"BVic",1.85248551269681,21.3111873953873,2.49151765549129
"AH1",1.85450366932923,18.5822577104915,6.81283130415669
"BVic",1.81444344916672,19.4128030147076,3.82305366483232
"AH1",2.30519448163485,25.6288262280723,2.34276935118198
"AH1",2.05874105572942,23.4663772585891,2.13503683503511
"BYam",1.69266844999361,20.8084903345908,1.81357654366176
