"age_cat","flua_h1n1pdm_gm","flua_h3n2_gm","flub_victoria_gm","flub_yamagata_gm"
"5-11",452.548,452.548,7.071,113.137
"19-40",452.548,160,5,80
"12-18",160,1280,160,20
"12-18",640,640,28.284,56.568
"5-11",160,320,10,20
"5-11",5,113.137,7.071,10
">40",5,56.568,5,5
"19-40",14.142,226.274,5,7.071
"19-40",40,56.568,5,20
"5-11",80,226.274,10,113.137
"5-11",80,905.096,5,5
"<5",5,116.963524136328,5,5.68646100097843
">40",14.142,113.137,7.071,5
"19-40",28.284,320,14.142,5
"12-18",113.137,1280,56.568,226.274
"5-11",80,1280,28.284,40
"5-11",226.274,320,40,5
"<5",7.071,320,5,28.284
">40",5,160,10,10
"5-11",20,1280,113.137,5
"5-11",80,320,56.568,14.142
">40",80,905.096,5,5
"5-11",56.568,640,80,20
"5-11",452.548,1280,28.284,10
"<5",320,113.137,5,20
"19-40",56.568,113.137,7.071,40
"12-18",28.284,452.548,28.284,80
"5-11",28.284,226.274,5,160
"<5",320,452.548,5,5
">40",5,80,20,10
"12-18",80,640,28.284,40
"5-11",28.284,640,28.284,28.284
"5-11",458.848360882209,78.3208574810381,76.1914539713929,46.849926275791
"<5",5,320,7.071,7.071
">40",7.071,28.284,28.284,14.142
"19-40",28.284,905.096,10,28.284
"5-11",135.799961223572,564.591005314648,20.8909477229938,46.849926275791
"5-11",320,320,80,20
"5-11",160,905.096,320,5
"5-11",320,905.096,56.568,5
"19-40",7.071,160,5,5
"5-11",320,56.568,56.568,7.071
"<5",6.07702786429459,361.621566764408,6.35111393876647,40.4091388929212
"<5",6.07702786429459,155.096386801668,10.6568597213596,11.8632366356219
">40",14.142,14.142,5,5
"12-18",40,320,56.568,80
"5-11",452.548,640,56.568,20
"<5",5,5,20,14.142
"<5",5,155.096386801668,5,5.68646100097843
">40",5,320,226.274,20
"19-40",160,320,28.284,40
"5-11",80,113.137,40,14.142
"<5",5,452.548,10,113.137
"<5",5,5.2479543128836,141.751884331812,31.624375550995
">40",40,7.071,40,40
">40",5,5,28.284,14.142
"19-40",80,28.284,14.142,80
"19-40",640,113.137,14.142,80
"12-18",320,452.548,80,56.568
"<5",584.225697464082,5.2479543128836,5,5.68646100097843
">40",1280,56.568,160,40
"19-40",160,640,40,160
"12-18",5,452.548,160,80
"12-18",5,452.548,20,40
"19-40",160,452.548,40,7.071
"12-18",160,905.096,113.137,5
"12-18",80,113.137,113.137,80
"5-11",40,452.548,40,20
"5-11",249.622894813964,182.61232112933,98.6952331877906,10.7641753450839
"19-40",20,113.137,56.568,80
"5-11",20,452.548,40,80
"5-11",320,160,113.137,160
"19-40",5,28.284,40,40
">40",452.548,226.274,113.137,40
"19-40",160,80,14.142,80
"5-11",640,226.274,28.284,20
"12-18",80,905.096,56.568,28.284
"19-40",7.071,226.274,20,20
"12-18",28.284,226.274,28.284,20
"5-11",226.274,452.548,160,20
"5-11",160,160,40,40
"19-40",28.284,80,40,56.568
"5-11",320,80,20,80
"<5",160,80,5,5
">40",5,28.284,28.284,40
"12-18",76.622744976572,85.7140393494184,16.6511109557491,60.276480723733
"5-11",320,452.548,160,14.142
"<5",160,113.137,5,5
">40",5,226.274,5,5
"12-18",5,5,5,5
"5-11",40,320,113.137,14.142
"<5",80,160,80,5
"19-40",113.137,80,28.284,40
"5-11",640,226.274,80,20
"5-11",160,113.137,113.137,40
"<5",320,80,80,5
"19-40",40,56.568,5,40
"12-18",80,320,14.142,160
"<5",317.83073071308,66.5194279978659,6.35111393876647,24.7497156191971
"<5",5,7.071,5,14.142
"19-40",80,160,56.568,160
"19-40",40,113.137,160,160
"19-40",28.284,1280,5,113.137
"5-11",5,80,28.284,80
"19-40",40,113.137,10,7.071
"19-40",80,56.568,10,160
"5-11",40,160,28.284,14.142
"5-11",80,40,7.071,5
"5-11",40,320,10,14.142
"19-40",7.071,7.071,5,5
"19-40",113.137,226.274,5,80
"19-40",40,226.274,20,80
"12-18",113.137,113.137,7.071,113.137
"12-18",160,905.096,56.568,113.137
"5-11",160,113.137,28.284,5
"5-11",7.071,113.137,28.284,80
"<5",5,160,7.071,160
"<5",5,5,5,5
"19-40",160,113.137,5,80
"12-18",452.548,226.274,14.142,226.274
"5-11",5,40,5,5
"<5",5,113.137,5,5
"19-40",10,56.568,7.071,20
"<5",5,113.137,5,5
"19-40",20,113.137,14.142,320
"12-18",80,56.568,5,80
"5-11",160,80,7.071,28.284
">40",40,56.568,5,40
"12-18",320,40,113.137,56.568
"5-11",320,160,226.274,80
"<5",5,320,113.137,28.284
"19-40",80,113.137,28.284,113.137
"5-11",320,10,113.137,40
"5-11",640,40,5,56.568
"5-11",320,80,5,113.137
"<5",160,80,7.071,56.568
"19-40",5,14.142,5,5
"19-40",160,40,14.142,20
"5-11",226.274,320,113.137,452.548
"19-40",20,14,20,20
"12-18",5,40,14.142,10
"12-18",28.284,80,28,7.071
"5-11",80,226.274,160,56.568
"5-11",80,56.568,40,20
">40",28.284,20,14.142,80
"12-18",40,113.137,40,113.137
"5-11",20,20,7.071,5
"5-11",5,20,20,20
"<5",5,80,28.284,5
"<5",5,40,452.548,5
"<5",5,5,320,160
">40",113,40,113,905.096
">40",5,80,57,80
"19-40",20,20,5,20
"5-11",5,20,20,5
"<5",56.568,40,40,57
"<5",5,5,5,20
">40",14,5,7.071,10
